Index,Micros,BMP,Temperature (°C),Pressure (hPa),Altitude (m),,,,,,
Index,Micros,GPS,Latitude,Longitude,Altitude,Speed,Satellites,,,,
Index,Micros,BNO,Yaw,Pitch,Roll,MagX,MagY,MagZ,AccX,AccY,AccZ
,,,,,,,,,,,
1781,163145343,GPS,0,0,0,0,0,0,,,
1782,163181981,BMP390,20.84,1007.5,-0.56,,,,,,
1783,163242323,BNO,-95.05,5.85,-0.04,-3.5,-56.5,-118.69,-0.13,0.02,-0.01
1784,163295231,BMP390,20.84,1007.51,-0.59,,,,,,
1785,163354488,BNO,-95.05,5.85,-0.04,-3.5,-56.5,-118.69,0.14,-0.32,-0.25
1786,163415280,GPS,0,0,0,0,0,0,,,
1787,163451898,BMP390,20.84,1007.5,-0.54,,,,,,
1788,163511160,BNO,-94.45,5.64,0.08,-3.5,-56.5,-118.69,0.14,-0.32,-0.25
1789,163564306,BMP390,20.84,1007.5,-0.51,,,,,,
1790,163623529,BNO,-94.28,5.62,0.28,-3.5,-56.5,-118.69,0.14,-0.32,-0.25
1791,163683501,GPS,0,0,0,0,0,0,,,
1792,163721384,BMP390,20.84,1007.5,-0.58,,,,,,
1793,163780604,BNO,-94.12,5.53,0.45,-3.5,-56.5,-118.69,0.14,-0.32,-0.25
1794,163833939,BMP390,20.84,1007.5,-0.58,,,,,,
1795,163893190,BNO,-94.39,5.62,0.08,-3.5,-56.5,-118.69,0.14,-0.32,-0.25
1796,163953491,GPS,0,0,0,0,0,0,,,
1797,163988992,BMP390,20.84,1007.5,-0.57,,,,,,
1798,164048192,BNO,-94.63,5.72,-0.44,-3.5,-56.5,-118.69,0.14,-0.32,-0.25
1799,164101531,BMP390,20.83,1007.51,-0.59,,,,,,
1800,164160829,BNO,-94.79,5.75,-0.59,-3.5,-56.5,-118.69,0.14,-0.32,-0.25
1801,164223196,GPS,0,0,0,0,0,0,,,
1802,164259082,BMP390,20.84,1007.51,-0.6,,,,,,
1803,164318315,BNO,-94.79,5.75,-0.59,-5.38,-64.06,-119.25,0.14,-0.32,-0.25
1804,164370832,BMP390,20.83,1007.5,-0.53,,,,,,
1805,164430085,BNO,-94.79,5.75,-0.59,-3.44,-62.81,-118.5,0.14,-0.32,-0.25
1806,164490103,GPS,0,0,0,0,0,0,,,
1807,164525643,BMP390,20.83,1007.5,-0.51,,,,,,
1808,164584892,BNO,-94.79,5.75,-0.59,-3.44,-62.81,-118.5,0.05,0.19,-0.01
1809,164638946,BMP390,20.83,1007.5,-0.55,,,,,,
1810,164700115,BNO,-94.79,5.75,-0.59,-3.44,-62.81,-118.5,0.06,-0.25,-0.27
1811,164760602,GPS,0,0,0,0,0,0,,,
1812,164795320,BMP390,20.83,1007.5,-0.53,,,,,,
1813,164854523,BNO,-94.79,5.75,-0.59,-7.31,-62.94,-118.13,0.06,-0.25,-0.27
1814,164908028,BMP390,20.83,1007.5,-0.53,,,,,,
1815,164967293,BNO,-94.79,5.75,-0.59,-7.31,-62.94,-118.13,-0.41,0.25,-0.26
1816,165027810,GPS,0,0,0,0,0,0,,,
1817,165064664,BMP390,20.83,1007.5,-0.52,,,,,,
1818,165123945,BNO,-97.52,6.16,-2.62,-7.31,-62.94,-118.13,-0.41,0.25,-0.26
1819,165178930,BMP390,20.83,1007.5,-0.54,,,,,,
1820,165238172,BNO,-97.52,6.16,-2.62,-7.31,-62.94,-118.13,0.06,0.02,0.05
1821,165298086,GPS,0,0,0,0,0,0,,,
1822,165334337,BMP390,20.83,1007.5,-0.59,,,,,,
1823,165393579,BNO,-96.69,5.4,-2.98,-7.31,-62.94,-118.13,0.06,0.02,0.05
1824,165445986,BMP390,20.83,1007.51,-0.59,,,,,,
1825,165505257,BNO,-96.69,5.4,-2.98,-7.31,-62.94,-118.13,-0.96,-0.47,0.48
1826,165565755,GPS,0,0,0,0,0,0,,,
1827,165600795,BMP390,20.83,1007.51,-0.59,,,,,,
1828,165661872,BNO,-97.93,5.86,-3.58,-7.31,-62.94,-118.13,-0.96,-0.47,0.48
1829,165716256,BMP390,20.83,1007.51,-0.61,,,,,,
1830,165775538,BNO,-97.82,5.71,-3.86,-7.31,-62.94,-118.13,-0.96,-0.47,0.48
1831,165836021,GPS,0,0,0,0,0,0,,,
1832,165871718,BMP390,20.83,1007.51,-0.6,,,,,,
1833,165931439,BNO,-97.82,5.71,-3.86,-7.31,-62.94,-118.13,-0.15,-0.12,0.18
1834,165985999,BMP390,20.82,1007.51,-0.59,,,,,,
1835,166045243,BNO,-98.35,5.71,-3.78,-7.31,-62.94,-118.13,-0.15,-0.12,0.18
1836,166105252,GPS,0,0,0,0,0,0,,,
1837,166142711,BMP390,20.83,1007.5,-0.59,,,,,,
1838,166201940,BNO,-98.35,5.71,-3.78,-6.13,-61.44,-117.31,-0.15,-0.12,0.18
1839,166255278,BMP390,20.82,1007.51,-0.6,,,,,,
1840,166314599,BNO,-97.83,5.22,-3.31,-6.13,-61.44,-117.31,-0.15,-0.12,0.18
1841,166375246,GPS,0,0,0,0,0,0,,,
1842,166410600,BMP390,20.82,1007.51,-0.65,,,,,,
1843,166469828,BNO,-97.83,5.22,-3.31,-6.13,-61.44,-117.31,-0.11,-0.29,0.09
1844,166522937,BMP390,20.82,1007.5,-0.59,,,,,,
1845,166582190,BNO,-97.52,5.1,-3.35,-6.13,-61.44,-117.31,-0.11,-0.29,0.09
1846,166644164,GPS,0,0,0,0,0,0,,,
1847,166680241,BMP390,20.82,1007.5,-0.56,,,,,,
1848,166739510,BNO,-97.52,5.1,-3.35,-6.13,-61.44,-117.31,-2.28,1.68,0.08
1849,166792629,BMP390,20.82,1007.5,-0.56,,,,,,
1850,166851845,BNO,-97.52,5.1,-3.35,-6.13,-61.44,-117.31,0.14,-0.33,-0.34
1851,166911861,GPS,0,0,0,0,0,0,,,
1852,166947431,BMP390,20.82,1007.5,-0.57,,,,,,
1853,167006639,BNO,-97.52,5.1,-3.35,-6.13,-61.44,-117.31,1.16,-1.34,-0.88
1854,167059362,BMP390,20.82,1007.5,-0.59,,,,,,
1855,167120442,BNO,-97.52,5.1,-3.35,-6.56,-61.69,-117.25,1.16,-1.34,-0.88
1856,167181194,GPS,0,0,0,0,0,0,,,
1857,167216561,BMP390,20.82,1007.5,-0.54,,,,,,
1858,167275819,BNO,-97.65,4.33,-3.98,-6.56,-61.69,-117.25,1.16,-1.34,-0.88
1859,167329587,BMP390,20.82,1007.5,-0.57,,,,,,
1860,167388855,BNO,-97.39,4.4,-4.63,-6.56,-61.69,-117.25,1.16,-1.34,-0.88
1861,167449092,GPS,0,0,0,0,0,0,,,
1862,167485930,BMP390,20.82,1007.5,-0.54,,,,,,
1863,167545230,BNO,-97.41,4.73,-4.78,-6.56,-61.69,-117.25,1.16,-1.34,-0.88
1864,167599559,BMP390,20.82,1007.49,-0.49,,,,,,
1865,167658859,BNO,-97.41,4.73,-4.78,-6.13,-61.69,-117.38,1.16,-1.34,-0.88
1866,167718836,GPS,0,0,0,0,0,0,,,
1867,167754738,BMP390,20.82,1007.5,-0.55,,,,,,
1868,167813992,BNO,-98.2,4.93,-5.53,-6.13,-61.69,-117.38,1.16,-1.34,-0.88
1869,167868323,BMP390,20.81,1007.5,-0.57,,,,,,
1870,167927641,BNO,-98.29,4.63,-5.66,-6.13,-61.69,-117.38,1.16,-1.34,-0.88
1871,167988427,GPS,0,0,0,0,0,0,,,
1872,168023363,BMP390,20.82,1007.49,-0.51,,,,,,
1873,168193392,BNO,-98.29,4.63,-5.66,-6.25,-61.44,-117,1.16,-1.34,-0.88
1874,168254089,GPS,0,0,0,0,0,0,,,
1875,168306067,BMP390,20.81,1007.5,-0.56,,,,,,
1876,168365291,BNO,-97.93,3.99,-7.08,-6.25,-61.44,-117,1.16,-1.34,-0.88
1877,168402724,BMP390,20.81,1007.51,-0.62,,,,,,
1878,168461926,BNO,-97.93,3.99,-7.08,-6.25,-61.44,-117,-0.14,-0.46,0.02
1879,168521758,GPS,0,0,0,0,0,0,,,
1880,168573086,BMP390,20.81,1007.5,-0.58,,,,,,
1881,168632375,BNO,-97.93,3.99,-7.08,-5.31,-58.88,-117.31,-0.14,-0.46,0.02
1882,168672305,BMP390,20.81,1007.51,-0.59,,,,,,
1883,168731534,BNO,-97.93,3.99,-7.08,-5.31,-58.88,-117.31,-0.04,0.07,0.17
1884,168792039,GPS,0,0,0,0,0,0,,,
1885,168843508,BMP390,20.81,1007.51,-0.61,,,,,,
1886,168902724,BNO,-97.93,3.99,-7.08,-5.31,-58.88,-117.31,0.16,-1.02,-1.71
1887,168940468,BMP390,20.81,1007.51,-0.63,,,,,,
1888,168999797,BNO,-97.93,3.99,-7.08,-6.81,-57.13,-116.25,0.16,-1.02,-1.71
1889,169059601,GPS,0,0,0,0,0,0,,,
1890,169111050,BMP390,20.81,1007.51,-0.64,,,,,,
1891,169172021,BNO,-98.87,2.47,-7.62,-6.81,-57.13,-116.25,0.16,-1.02,-1.71
1892,169208802,BMP390,20.81,1007.51,-0.61,,,,,,
1893,169268001,BNO,-98.87,2.47,-7.62,-6.81,-57.13,-116.25,0.35,-0.9,-0.04
1894,169327906,GPS,0,0,0,0,0,0,,,
1895,169379385,BMP390,20.81,1007.51,-0.62,,,,,,
1896,169438566,BNO,-98.87,2.47,-7.62,-6.81,-57.13,-116.25,0.17,0.18,-0.16
1897,169476206,BMP390,20.81,1007.51,-0.61,,,,,,
1898,169535481,BNO,-98.87,2.47,-7.62,-6.81,-57.13,-116.25,-1.8,0.47,-0.07
1899,169595984,GPS,0,0,0,0,0,0,,,
1900,169648841,BMP390,20.81,1007.5,-0.56,,,,,,
1901,169708039,BNO,-98.87,2.47,-7.62,-6.81,-57.13,-116.25,0.74,-0.1,-0.05
1902,169746174,BMP390,20.81,1007.5,-0.53,,,,,,
1903,169805434,BNO,-101.01,2.57,-9.69,-6.81,-57.13,-116.25,0.74,-0.1,-0.05
1904,169865174,GPS,0,0,0,0,0,0,,,
1905,169915951,BMP390,20.81,1007.5,-0.55,,,,,,
1906,169975162,BNO,-101.01,2.57,-9.69,-6.81,-57.13,-116.25,0.18,-0.46,-0.36
1907,170011922,BMP390,20.81,1007.5,-0.53,,,,,,
1908,170071154,BNO,-101.01,2.57,-9.69,-6,-58.88,-117.25,0.18,-0.46,-0.36
1909,170132601,GPS,0,0,0,0,0,0,,,
1910,170182908,BMP390,20.81,1007.5,-0.55,,,,,,
1911,170242126,BNO,-100.64,2.92,-10.08,-6,-58.88,-117.25,0.18,-0.46,-0.36
1912,170279847,BMP390,20.8,1007.49,-0.45,,,,,,
1913,170339098,BNO,-100.64,2.92,-10.08,-6,-58.88,-117.25,-1.62,1.25,0.86
1914,170399613,GPS,0,0,0,0,0,0,,,
1915,170451856,BMP390,20.8,1007.49,-0.45,,,,,,
1916,170511088,BNO,-100.09,2.75,-7.68,-6,-58.88,-117.25,-1.62,1.25,0.86
1917,170550108,BMP390,20.8,1007.48,-0.42,,,,,,
1918,170610972,BNO,-100.09,2.75,-7.68,-6,-58.88,-117.25,-0.46,0,0.06
1919,170670798,GPS,0,0,0,0,0,0,,,
1920,170723110,BMP390,20.8,1007.48,-0.39,,,,,,
1921,170782319,BNO,-100.09,2.75,-7.68,-6,-58.88,-117.25,-0.51,1.1,0.23
1922,170819190,BMP390,20.8,1007.48,-0.42,,,,,,
1923,170878444,BNO,-100.09,2.75,-7.68,-6,-58.88,-117.25,0.38,-0.21,-0.61
1924,170938621,GPS,0,0,0,0,0,0,,,
1925,170988990,BMP390,20.8,1007.49,-0.45,,,,,,
1926,171048174,BNO,-100.09,2.75,-7.68,-6,-57.69,-117.19,0.38,-0.21,-0.61
1927,171087929,BMP390,20.8,1007.49,-0.43,,,,,,
1928,171147250,BNO,-100.07,2.59,-8.67,-6,-57.69,-117.19,0.38,-0.21,-0.61
1929,171207753,GPS,0,0,0,0,0,0,,,
1930,171259340,BMP390,20.8,1007.49,-0.46,,,,,,
1931,171318582,BNO,-101.43,3.18,-11.18,-6,-57.69,-117.19,0.38,-0.21,-0.61
1932,171356630,BMP390,20.8,1007.49,-0.46,,,,,,
1933,171415877,BNO,-101.38,3.23,-10.85,-6,-57.69,-117.19,0.38,-0.21,-0.61
1934,171475634,GPS,0,0,0,0,0,0,,,
1935,171527530,BMP390,20.8,1007.49,-0.47,,,,,,
1936,171587221,BNO,-101.38,3.23,-10.85,-7.56,-58.94,-117.56,0.38,-0.21,-0.61
1937,171625318,BMP390,20.8,1007.5,-0.53,,,,,,
1938,171684584,BNO,-99.61,2.17,-8.4,-7.56,-58.94,-117.56,0.38,-0.21,-0.61
1939,171744773,GPS,0,0,0,0,0,0,,,
1940,171795453,BMP390,20.8,1007.51,-0.6,,,,,,
1941,171854667,BNO,-99.33,2.22,-7.41,-7.56,-58.94,-117.56,0.38,-0.21,-0.61
1942,171892485,BMP390,20.8,1007.5,-0.53,,,,,,
1943,171951717,BNO,-99.33,2.22,-7.41,-6.06,-59.13,-116.81,0.38,-0.21,-0.61
1944,172014018,GPS,0,0,0,0,0,0,,,
1945,172065869,BMP390,20.8,1007.5,-0.54,,,,,,
1946,172125103,BNO,-99.57,5.26,-6.8,-6.06,-59.13,-116.81,0.38,-0.21,-0.61
1947,172162885,BMP390,20.79,1007.49,-0.47,,,,,,
1948,172222109,BNO,-99.57,5.26,-6.8,-6.06,-59.13,-116.81,0.07,-0.02,-0.34
1949,172281848,GPS,0,0,0,0,0,0,,,
1950,172332808,BMP390,20.79,1007.49,-0.48,,,,,,
1951,172392041,BNO,-99.57,5.26,-6.8,-3.63,-57.63,-118,0.07,-0.02,-0.34
1952,172429273,BMP390,20.79,1007.49,-0.47,,,,,,
1953,172489661,BNO,-99.57,5.26,-6.8,-3.63,-57.63,-118,-0.19,-0.53,-0.32
1954,172550098,GPS,0,0,0,0,0,0,,,
1955,172601192,BMP390,20.79,1007.49,-0.42,,,,,,
1956,172660382,BNO,-99.57,5.26,-6.8,-3.63,-57.63,-118,-0.43,-0.45,-0.8
1957,172698519,BMP390,20.79,1007.49,-0.43,,,,,,
1958,172757826,BNO,-102.1,4.16,-9.57,-3.63,-57.63,-118,-0.43,-0.45,-0.8
1959,172818397,GPS,0,0,0,0,0,0,,,
1960,172869479,BMP390,20.79,1007.48,-0.41,,,,,,
1961,172928697,BNO,-103.22,4.47,-10.67,-3.63,-57.63,-118,-0.43,-0.45,-0.8
1962,172968842,BMP390,20.79,1007.48,-0.38,,,,,,
1963,173028052,BNO,-104.44,5.22,-10.25,-3.63,-57.63,-118,-0.43,-0.45,-0.8
1964,173087832,GPS,0,0,0,0,0,0,,,
1965,173140344,BMP390,20.79,1007.48,-0.38,,,,,,
1966,173199597,BNO,-103.04,4.34,-8.36,-3.63,-57.63,-118,-0.43,-0.45,-0.8
1967,173237543,BMP390,20.79,1007.48,-0.39,,,,,,
1968,173296798,BNO,-103.04,4.34,-8.36,-3.31,-57.88,-117.56,-0.43,-0.45,-0.8
1969,173357178,GPS,0,0,0,0,0,0,,,
1970,173407212,BMP390,20.79,1007.48,-0.39,,,,,,
1971,173468256,BNO,-103.59,4.05,-9.06,-3.31,-57.88,-117.56,-0.43,-0.45,-0.8
1972,173506397,BMP390,20.79,1007.49,-0.44,,,,,,
1973,173565682,BNO,-103.9,4.54,-7.97,-3.31,-57.88,-117.56,-0.43,-0.45,-0.8
1974,173626087,GPS,0,0,0,0,0,0,,,
1975,173678263,BMP390,20.79,1007.5,-0.53,,,,,,
1976,173737510,BNO,-104.05,3.87,-10.46,-3.31,-57.88,-117.56,-0.43,-0.45,-0.8
1977,173775074,BMP390,20.79,1007.49,-0.44,,,,,,
1978,173834284,BNO,-104.05,3.87,-10.46,-2.63,-57.56,-116.31,-0.43,-0.45,-0.8
1979,173894081,GPS,0,0,0,0,0,0,,,
1980,173946556,BMP390,20.79,1007.48,-0.35,,,,,,
1981,174005763,BNO,-103.91,4.04,-10.64,-2.63,-57.56,-116.31,-0.43,-0.45,-0.8
1982,174043995,BMP390,20.79,1007.48,-0.38,,,,,,
1983,174103287,BNO,-103.91,4.04,-10.64,-2.63,-57.56,-116.31,-0.01,-0.15,0.32
1984,174163786,GPS,0,0,0,0,0,0,,,
1985,174213750,BMP390,20.79,1007.48,-0.42,,,,,,
1986,174272971,BNO,-103.91,4.04,-10.64,-4.25,-59.06,-117.06,-0.01,-0.15,0.32
1987,174310815,BMP390,20.78,1007.48,-0.38,,,,,,
1988,174370081,BNO,-103.91,4.04,-10.64,-4.25,-59.06,-117.06,0.23,0.24,-0.46
1989,174431709,GPS,0,0,0,0,0,0,,,
1990,174482424,BMP390,20.79,1007.48,-0.38,,,,,,
1991,174541655,BNO,-103.91,4.04,-10.64,-4.25,-59.06,-117.06,0.13,-0.21,0.09
1992,174579874,BMP390,20.78,1007.49,-0.45,,,,,,
1993,174639095,BNO,-103.42,3.56,-9.66,-4.25,-59.06,-117.06,0.13,-0.21,0.09
1994,174698893,GPS,0,0,0,0,0,0,,,
1995,174751705,BMP390,20.78,1007.48,-0.4,,,,,,
1996,174810947,BNO,-103.42,3.56,-9.66,-4.13,-58.5,-117.94,0.13,-0.21,0.09
1997,174850864,BMP390,20.78,1007.48,-0.38,,,,,,
1998,174910112,BNO,-104.05,3.65,-9.11,-4.13,-58.5,-117.94,0.13,-0.21,0.09
1999,174970644,GPS,0,0,0,0,0,0,,,
2000,175021064,BMP390,20.78,1007.48,-0.34,,,,,,
2001,175080771,BNO,-104.8,3.45,-10.48,-4.13,-58.5,-117.94,0.13,-0.21,0.09
2002,175119389,BMP390,20.78,1007.48,-0.42,,,,,,
2003,175178632,BNO,-104.8,3.45,-10.48,-3.38,-58.19,-117.13,0.13,-0.21,0.09
2004,175238793,GPS,0,0,0,0,0,0,,,
2005,175290565,BMP390,20.78,1007.49,-0.46,,,,,,
2006,175349781,BNO,-105.12,4.26,-10.41,-3.38,-58.19,-117.13,0.13,-0.21,0.09
2007,175388682,BMP390,20.78,1007.49,-0.5,,,,,,
2008,175447915,BNO,-104.71,3.72,-10.52,-3.38,-58.19,-117.13,0.13,-0.21,0.09
2009,175507715,GPS,0,0,0,0,0,0,,,
2010,175558567,BMP390,20.78,1007.49,-0.48,,,,,,
2011,175617822,BNO,-104.71,3.72,-10.52,-3.81,-57.56,-116.69,0.13,-0.21,0.09
2012,175655625,BMP390,20.78,1007.49,-0.47,,,,,,
2013,175714876,BNO,-104.71,3.72,-10.52,-4.13,-57.63,-117.06,0.13,-0.21,0.09
2014,175775424,GPS,0,0,0,0,0,0,,,
2015,175828457,BMP390,20.78,1007.49,-0.46,,,,,,
2016,175887633,BNO,-104.71,3.72,-10.52,-4.13,-57.63,-117.06,0.13,0.04,-0.11
2017,175926073,BMP390,20.78,1007.48,-0.4,,,,,,
2018,175985268,BNO,-104.71,3.72,-10.52,-4.13,-57.63,-117.06,-1.69,0.45,-0.39
2019,176045262,GPS,0,0,0,0,0,0,,,
2020,176097342,BMP390,20.78,1007.49,-0.45,,,,,,
2021,176156538,BNO,-104.71,3.72,-10.52,-4.13,-57.63,-117.06,-0.59,0.38,0.6
2022,176193393,BMP390,20.78,1007.48,-0.39,,,,,,
2023,176252579,BNO,-104.71,3.72,-10.52,-4.13,-57.63,-117.06,-0.1,0.06,-0.64
2024,176321398,GPS,0,0,0,0,0,0,,,
2025,176373196,BMP390,20.78,1007.49,-0.44,,,,,,
2026,176432438,BNO,-103.52,3.01,-10.23,-4.13,-57.63,-117.06,-0.1,0.06,-0.64
2027,176471044,BMP390,20.78,1007.49,-0.5,,,,,,
2028,176530340,BNO,-103.52,3.01,-10.23,-4.13,-57.63,-117.06,-0.11,-0.16,0.02
2029,176590891,GPS,0,0,0,0,0,0,,,
2030,176642303,BMP390,20.78,1007.49,-0.5,,,,,,
2031,176701581,BNO,-103.52,3.01,-10.23,-4.13,-57.63,-117.06,-1.05,-0.55,-0.48
2032,176739297,BMP390,20.78,1007.51,-0.59,,,,,,
2033,176800361,BNO,-103.52,3.01,-10.23,-4.13,-57.63,-117.06,0.94,0.45,1.25
2034,176860183,GPS,0,0,0,0,0,0,,,
2035,176912216,BMP390,20.78,1007.5,-0.54,,,,,,
2036,176971489,BNO,-103.52,3.01,-10.23,-4.13,-57.63,-117.06,-0.51,-0.17,-0.18
2037,177008261,BMP390,20.77,1007.5,-0.54,,,,,,
2038,177066538,BNO,-103.52,3.01,-10.23,-5.88,-55.63,-114.19,-0.51,-0.17,-0.18
2039,177126431,GPS,0,0,0,0,0,0,,,
2040,177178082,BMP390,20.77,1007.5,-0.57,,,,,,
2041,177237313,BNO,-103.52,3.01,-10.23,-5.88,-55.63,-114.19,-0.11,-0.26,-0.13
2042,177277840,BMP390,20.77,1007.5,-0.55,,,,,,
2043,177337151,BNO,-101.08,1.51,-4.96,-5.88,-55.63,-114.19,-0.11,-0.26,-0.13
2044,177397737,GPS,0,0,0,0,0,0,,,
2045,177449652,BMP390,20.77,1007.5,-0.56,,,,,,
2046,177508961,BNO,-101.28,1.6,-4.91,-5.88,-55.63,-114.19,-0.11,-0.26,-0.13
2047,177547827,BMP390,20.77,1007.51,-0.65,,,,,,
2048,177607133,BNO,-101.21,1.62,-4.89,-5.88,-55.63,-114.19,-0.11,-0.26,-0.13
2049,177667001,GPS,0,0,0,0,0,0,,,
2050,177719147,BMP390,20.77,1007.5,-0.55,,,,,,
2051,177780641,BNO,-101.21,1.49,-5.11,-5.88,-55.63,-114.19,-0.11,-0.26,-0.13
2052,177818147,BMP390,20.77,1007.5,-0.55,,,,,,
2053,177877399,BNO,-101.18,1.48,-4.99,-5.88,-55.63,-114.19,-0.11,-0.26,-0.13
2054,177937382,GPS,0,0,0,0,0,0,,,
2055,177989060,BMP390,20.77,1007.5,-0.54,,,,,,
2056,178048275,BNO,-101.41,1.66,-5.3,-5.88,-55.63,-114.19,-0.11,-0.26,-0.13
2057,178086558,BMP390,20.77,1007.5,-0.51,,,,,,
2058,178145830,BNO,-101.68,1.95,-5.43,-5.88,-55.63,-114.19,-0.11,-0.26,-0.13
2059,178208253,GPS,0,0,0,0,0,0,,,
2060,178260528,BMP390,20.77,1007.49,-0.48,,,,,,
2061,178319913,BNO,-102.55,2.26,-6.22,-5.88,-55.63,-114.19,-0.11,-0.26,-0.13
2062,178358474,BMP390,20.77,1007.49,-0.49,,,,,,
2063,178417831,BNO,-102.55,2.26,-6.22,-5.88,-55.63,-114.19,0.2,-0.02,-0.1
2064,178477584,GPS,0,0,0,0,0,0,,,
2065,178529992,BMP390,20.77,1007.49,-0.46,,,,,,
2066,178589299,BNO,-103.06,2.77,-7.71,-5.88,-55.63,-114.19,0.2,-0.02,-0.1
2067,178626641,BMP390,20.77,1007.5,-0.53,,,,,,
2068,178687254,BNO,-103.1,2.64,-7.27,-5.88,-55.63,-114.19,0.2,-0.02,-0.1
2069,178747690,GPS,0,0,0,0,0,0,,,
2070,178798470,BMP390,20.77,1007.5,-0.54,,,,,,
2071,178857761,BNO,-103.39,2.68,-8.6,-5.88,-55.63,-114.19,0.2,-0.02,-0.1
2072,178895627,BMP390,20.77,1007.5,-0.54,,,,,,
2073,178954910,BNO,-103.39,2.68,-8.6,-5.88,-55.63,-114.19,-0.22,-0.06,-0.01
2074,179015446,GPS,0,0,0,0,0,0,,,
2075,179067219,BMP390,20.77,1007.49,-0.49,,,,,,
2076,179126504,BNO,-104.05,3,-9.09,-5.88,-55.63,-114.19,-0.22,-0.06,-0.01
2077,179166057,BMP390,20.76,1007.49,-0.5,,,,,,
2078,179225324,BNO,-104.05,3,-9.09,-5.88,-55.63,-114.19,0.78,-0.29,0.19
2079,179285100,GPS,0,0,0,0,0,0,,,
2080,179336489,BMP390,20.76,1007.49,-0.48,,,,,,
2081,179395711,BNO,-104.05,3,-9.09,-5.88,-55.63,-114.19,0.16,-0.56,-0.84
2082,179434249,BMP390,20.76,1007.49,-0.49,,,,,,
2083,179493554,BNO,-104.05,3,-9.09,-4.69,-57.88,-115.19,0.16,-0.56,-0.84
2084,179553865,GPS,0,0,0,0,0,0,,,
2085,179603710,BMP390,20.76,1007.49,-0.48,,,,,,
2086,179664745,BNO,-104.05,3,-9.09,-4.69,-57.88,-115.19,0.39,0.21,-0.04
2087,179703995,BMP390,20.76,1007.49,-0.45,,,,,,
2088,179763242,BNO,-104.05,3,-9.09,-4.69,-57.88,-115.19,0.48,-0.51,-0.22
2089,179823824,GPS,0,0,0,0,0,0,,,
2090,179875451,BMP390,20.76,1007.49,-0.49,,,,,,
2091,179934673,BNO,-104.05,3,-9.09,-4.69,-57.88,-115.19,0.13,-1.14,0.9
2092,179973001,BMP390,20.76,1007.5,-0.55,,,,,,
2093,180032263,BNO,-104.21,2.98,-8.44,-4.69,-57.88,-115.19,0.13,-1.14,0.9
2094,180091994,GPS,0,0,0,0,0,0,,,
2095,180144493,BMP390,20.76,1007.5,-0.51,,,,,,
2096,180203740,BNO,-104.21,2.98,-8.44,-4.69,-57.88,-115.19,3.86,3.95,-2.01
2097,180242498,BMP390,20.76,1007.5,-0.56,,,,,,
2098,180301775,BNO,-105,3.12,-4.85,-4.69,-57.88,-115.19,3.86,3.95,-2.01
2099,180355905,BMP390,20.76,1007.5,-0.56,,,,,,
2100,180415161,BNO,-104.6,2.14,-5.52,-4.69,-57.88,-115.19,3.86,3.95,-2.01
2101,180475125,GPS,0,0,0,0,0,0,,,
2102,180511350,BMP390,20.76,1007.5,-0.52,,,,,,
2103,180570599,BNO,-104.64,2.2,-5.91,-4.69,-57.88,-115.19,3.86,3.95,-2.01
2104,180623630,BMP390,20.76,1007.5,-0.54,,,,,,
2105,180682881,BNO,-104.64,2.2,-5.91,-4.69,-57.88,-115.19,-0.22,-0.03,-0.01
2106,180742959,GPS,0,0,0,0,0,0,,,
2107,180778803,BMP390,20.76,1007.5,-0.57,,,,,,
2108,180838014,BNO,-104.89,2.1,-5.42,-4.69,-57.88,-115.19,-0.22,-0.03,-0.01
2109,180894270,BMP390,20.76,1007.51,-0.61,,,,,,
2110,180953574,BNO,-104.89,2.1,-5.42,-6,-63.19,-119.69,-0.22,-0.03,-0.01
2111,181014331,GPS,0,0,0,0,0,0,,,
2112,181050334,BMP390,20.76,1007.5,-0.52,,,,,,
2113,181111196,BNO,-104.89,2.1,-5.42,-6,-63.19,-119.69,-0.09,0,-0.25
2114,181164999,BMP390,20.76,1007.5,-0.51,,,,,,
2115,181224265,BNO,-104.6,1.95,-5.09,-6,-63.19,-119.69,-0.09,0,-0.25
2116,181284262,GPS,0,0,0,0,0,0,,,
2117,181321029,BMP390,20.76,1007.49,-0.5,,,,,,
2118,181380252,BNO,-104.52,1.72,-5.18,-6,-63.19,-119.69,-0.09,0,-0.25
2119,181433622,BMP390,20.76,1007.49,-0.47,,,,,,
2120,181492899,BNO,-104.41,1.42,-5.42,-6,-63.19,-119.69,-0.09,0,-0.25
2121,181551695,GPS,0,0,0,0,0,0,,,
2122,181587526,BMP390,20.76,1007.49,-0.44,,,,,,
2123,181646776,BNO,-104.97,1.63,-5.27,-6,-63.19,-119.69,-0.09,0,-0.25
2124,181700754,BMP390,20.75,1007.49,-0.44,,,,,,
2125,181760029,BNO,-105.5,2.11,-6.22,-6,-63.19,-119.69,-0.09,0,-0.25
2126,181820828,GPS,0,0,0,0,0,0,,,
2127,181856962,BMP390,20.75,1007.49,-0.44,,,,,,
2128,181916241,BNO,-105.5,2.11,-6.22,-6,-63.19,-119.69,0.23,-0.16,-0.07
2129,181969095,BMP390,20.75,1007.5,-0.51,,,,,,
2130,182028345,BNO,-105.5,2.11,-6.22,-6,-63.19,-119.69,0.01,0,0.41
2131,182089687,GPS,0,0,0,0,0,0,,,
2132,182125404,BMP390,20.75,1007.5,-0.58,,,,,,
